pregunta,id
SbjNum,SbjNum
Filter,Filter
Date,Date
Srvyr,Srvyr
SbjNam,SbjNam
UsrUnq,UsrUnq
Duration,Duration
Upload,Upload
SubjData,SubjData
RvwTime,RvwTime
RvwComment,RvwComment
SrvyrComment,SrvyrComment
Complete,Complete
StopQ,StopQ
Test,Test
ParentID,ParentID
Latitude,Latitude
Longitude,Longitude
Status,Status
UTCDiff,UTCDiff
QAScore,QAScore
FrScName,FrScName
ExReNum,ExReNum
VStart,VStart
VEnd,VEnd
RvwName,RvwName
Cancel,Cancel
INT1,INT1
INT2,INT2
INT3,INT3
INT4,INT4
INT5,INT5
INT6,INT6
INT7,INT7
INT8,INT8
INT9,INT9
INT10,INT10
INT11,INT11
INT12,INT12
INT13,INT13
INT14,INT14
INT15,INT15
SECCIO,SECCIO
MANZANA,MANZANA
persona,Q_18
casa,PA
credencial,PB
edad,PC
sexo,PD
emocion,P1
emocion_otro,P1_OTROS
propaganda,P2
propaganda_otro,P2_OTROS
campana,P3
campana_otro,P3_OTROS
voto,P4
candidato,P5
candidato_otro,P5_OTROS
candidato2,P6
candidato2_otro,P6_OTROS
ganar,P7
ganar_otro,P7_OTROS
partido_iden,P8
partido_iden_otro,P8_OTROS
amlo,P9
presmun,P10
civil,D1
estudio,D2
ocupacion,D3
cohabitantes,D4
id_encuestador,T_Q_38_1
id_supervisor,T_Q_38_2