SbjNum,razon
151735871,le dijo que no tenia credencial de elector y siguio
151746774,entrevista incompleta
151747867,El audio comienza desde la pregunta 9 del bloque 3
151743239,se salto una pregunta
151788094,"Incompleta, es la de Tadeo."
151782863,"Filtros, preguntas y opciones incompletas."
151795586,incompleta.
15179647,"Incompleta, es la de Tadeo."
151794111,"Incompleta, es la de Tadeo."
151800083,Se brincó P1
151843490,no dijo filtros bien
151802860,no dijo filtros bien
151803340,no tenía credencial
151790702,mal registro
151836500,"Incompleta, es la de Tadeo."
151834491,"Incompleta, es la de Tadeo."
151736194,"no tiene audio, parece que se la inventó."
151736306,"no tiene audio, parece que se la inventó."
151740009,incompleta.
151737687,"no tiene audio, parece que se la inventó."
171749956,incompleta.
151748527,incompleta.
151792370,sin introduccion y filtros incompletos
151746774,"Incompleta, es la de Tadeo."
151791513,"Incompleta, es la de Tadeo."
151902700,filtro incompleto
151901800,filtro incompleto
151761026,filtro incompleto